UserName	Date	Time	Longitude	Latitude	Tweet
NorCal Earthquakes	2016-04-16	10:49	-122.8253326	38.8395004	usg report m0 85 #earthquake 9km wnw cobb california 4/16 16 1046 31 utc https//tco/x6xrpqe3mp #quak
Every Earthquake	2016-04-16	10:49	-122.8253326	38.8395004	usg report m0 85 #earthquake 9km wnw cobb california 4/16 16 1046 31 utc https//tco/j8ydvtyajr #quak
davidraven	2016-04-16	10:49	-118.243	34.0522	great mari wilson suprem yesterday love smart graciou woman lo https//tco/2dyousraeq
Ed Lukasik Jr	2016-04-16	10:48	-88.091311	41.635806	would love show #list 300 emeri avenu #romeovil #il https//tco/6z7tq7r1m #realest https//tco/c49u1hcpgf
DARLINGTON	2016-04-16	10:48	-73.9760359	40.68306968	@marcus_brown 4/16 16 barclay centr brooklyn new york https//tco/wnpwtzigrc
David YaBoy RRED	2016-04-16	10:48	-87.62802366	41.88105532	air jordan 10 chicago edit #shoehead #jordanhead #shoeconnoisseur https//tco/mmc8biubcm
VEGAS METALDAD	2016-04-16	10:48	-115.1245246	36.0818123	@m6nster @lilhak420 @15gizmo @tat2dmedusa1 @edguygz @fredovhel fire breath dragon huh
VIRGILIO ARISMENDI	2016-04-16	10:48	-81.439108	28.308604	nike compr para mi de 225 baratisimo caribbean isl apart https//tco/f69ezf67th
eanders	2016-04-16	10:48	-79.3612619	37.0661627	wow ghost shell movi star asian women oh bad ran asian women love girl black widow come disrespect
Eugenio De Marchena	2016-04-16	10:48	-77.3916185	38.9707104	el pa se encuentra en un estado de peligro democr tico saint https//tco/m9p16fqt0k
jeanlodul	2016-04-16	10:48	-99.22191871	19.45032064	campo militar 1 naucalpan mexico https//tco/9fygbbaupv
Community Yoga	2016-04-16	10:48	-80.858	35.4916399	action speak volum today 8 30 vinyasa w lauri 1015 gentl w https//tco/ofgigrjont
Robin McGinn	2016-04-16	10:48	-88.0803051	41.6948876	look buyer 1211 borego circl 1 #bolingbrook #il https//tco/rvlh0flrzl #realest https//tco/aoinuc1qq0
Petty Mayonaise	2016-04-16	10:48	-76.66867018	39.17931235	baltimor washington intern thurgood marshal airport bwi baltimor md https//tco/guziuidymt
